x,y,theta
-0.253012,-0.267767,0.746431
-0.248193,-0.263291,0.750484
-0.243373,-0.258779,0.754429
-0.238554,-0.254232,0.758269
-0.233735,-0.249650,0.762005
-0.228916,-0.245035,0.765639
-0.224096,-0.240386,0.769173
-0.219277,-0.235704,0.772609
-0.214458,-0.230991,0.775947
-0.209639,-0.226246,0.779191
-0.204819,-0.221471,0.782341
-0.200000,-0.216667,0.785398
-0.195181,-0.211833,0.788365
-0.190361,-0.206971,0.791243
-0.185542,-0.202081,0.794032
-0.180723,-0.197165,0.796735
-0.175904,-0.192222,0.799353
-0.171084,-0.187254,0.801886
-0.166265,-0.182260,0.804336
-0.161446,-0.177243,0.806705
-0.156627,-0.172202,0.808992
-0.151807,-0.167139,0.811200
-0.146988,-0.162053,0.813329
-0.142169,-0.156947,0.815381
-0.137349,-0.151819,0.817355
-0.132530,-0.146672,0.819254
-0.127711,-0.141505,0.821077
-0.122892,-0.136320,0.822827
-0.118072,-0.131117,0.824502
-0.113253,-0.125897,0.826105
-0.108434,-0.120660,0.827636
-0.103614,-0.115408,0.829096
-0.098795,-0.110140,0.830485
-0.093976,-0.104858,0.831804
-0.089157,-0.099563,0.833054
-0.084337,-0.094255,0.834234
-0.079518,-0.088934,0.835346
-0.074699,-0.083602,0.836390
-0.069880,-0.078259,0.837367
-0.065060,-0.072906,0.838277
-0.060241,-0.067543,0.839120
-0.055422,-0.062172,0.839897
-0.050602,-0.056793,0.840608
-0.045783,-0.051406,0.841253
-0.040964,-0.046013,0.841833
-0.036145,-0.040613,0.842348
-0.031325,-0.035209,0.842798
-0.026506,-0.029800,0.843184
-0.021687,-0.024387,0.843505
-0.016867,-0.018971,0.843761
-0.012048,-0.013552,0.843954
-0.007229,-0.008132,0.844082
-0.002410,-0.002711,0.844146
0.002410,0.002711,0.844146
0.007229,0.008132,0.844082
0.012048,0.013552,0.843954
0.016867,0.018971,0.843761
0.021687,0.024387,0.843505
0.026506,0.029800,0.843184
0.031325,0.035209,0.842798
0.036145,0.040613,0.842348
0.040964,0.046013,0.841833
0.045783,0.051406,0.841253
0.050602,0.056793,0.840608
0.055422,0.062172,0.839897
0.060241,0.067543,0.839120
0.065060,0.072906,0.838277
0.069880,0.078259,0.837367
0.074699,0.083602,0.836390
0.079518,0.088934,0.835346
0.084337,0.094255,0.834234
0.089157,0.099563,0.833054
0.093976,0.104858,0.831804
0.098795,0.110140,0.830485
0.103614,0.115408,0.829096
0.108434,0.120660,0.827636
0.113253,0.125897,0.826105
0.118072,0.131117,0.824502
0.122892,0.136320,0.822827
0.127711,0.141505,0.821077
0.132530,0.146672,0.819254
0.137349,0.151819,0.817355
0.142169,0.156947,0.815381
0.146988,0.162053,0.813329
0.151807,0.167139,0.811200
0.156627,0.172202,0.808992
0.161446,0.177243,0.806705
0.166265,0.182260,0.804336
0.171084,0.187254,0.801886
0.175904,0.192222,0.799353
0.180723,0.197165,0.796735
0.185542,0.202081,0.794032
0.190361,0.206971,0.791243
0.195181,0.211833,0.788365
0.200000,0.216667,0.785398
0.204819,0.221471,0.782341
0.209639,0.226246,0.779191
0.214458,0.230991,0.775947
0.219277,0.235704,0.772609
0.224096,0.240386,0.769173
0.228916,0.245035,0.765639
0.233735,0.249650,0.762005
0.238554,0.254232,0.758269
0.243373,0.258779,0.754429
0.248193,0.263291,0.750484
0.253012,0.267767,0.746431
0.257831,0.272206,0.742269
0.262651,0.276608,0.737996
0.267470,0.280971,0.733608
0.272289,0.285296,0.729106
0.277108,0.289581,0.724485
0.281928,0.293826,0.719744
0.286747,0.298031,0.714880
0.291566,0.302193,0.709892
0.296386,0.306313,0.704776
0.301205,0.310390,0.699531
0.306024,0.314424,0.694153
0.310843,0.318413,0.688639
0.315663,0.322356,0.682988
0.320482,0.326254,0.677197
0.325301,0.330106,0.671262
0.330120,0.333910,0.665180
0.334940,0.337667,0.658949
0.339759,0.341374,0.652566
0.344578,0.345033,0.646028
0.349398,0.348641,0.639331
0.354217,0.352199,0.632472
0.359036,0.355705,0.625448
0.363855,0.359159,0.618256
0.368675,0.362560,0.610892
0.373494,0.365908,0.603352
0.378313,0.369202,0.595635
0.383133,0.372441,0.587735
0.387952,0.375624,0.579649
0.392771,0.378750,0.571374
0.397590,0.381820,0.562907
0.402410,0.384832,0.554243
0.407229,0.387786,0.545378
0.412048,0.390680,0.536311
0.416867,0.393515,0.527036
0.421687,0.396289,0.517550
0.426506,0.399002,0.507850
0.431325,0.401653,0.497932
0.436145,0.404241,0.487793
0.440964,0.406767,0.477428
0.445783,0.409228,0.466836
0.450602,0.411624,0.456012
0.455422,0.413955,0.444954
0.460241,0.416220,0.433659
0.465060,0.418418,0.422123
0.469880,0.420549,0.410345
0.474699,0.422611,0.398321
0.479518,0.424604,0.386050
0.484337,0.426528,0.373529
0.489157,0.428382,0.360758
0.493976,0.430164,0.347733
0.498795,0.431875,0.334455
0.503614,0.433514,0.320923
0.508434,0.435079,0.307136
0.513253,0.436571,0.293094
0.518072,0.437988,0.278798
0.522892,0.439329,0.264249
0.527711,0.440595,0.249448
0.532530,0.441785,0.234397
0.537349,0.442897,0.219099
0.542169,0.443931,0.203557
0.546988,0.444886,0.187775
0.551807,0.445762,0.171756
0.556627,0.446558,0.155506
0.561446,0.447273,0.139030
0.566265,0.447906,0.122336
0.571084,0.448457,0.105429
0.575904,0.448926,0.088317
0.580723,0.449311,0.071008
0.585542,0.449611,0.053513
0.590361,0.449827,0.035839
0.595181,0.449957,0.017998
0.600000,0.450000,0.000000
