x,y,theta
0.3739,-0.0344,-0.1477
0.3778,-0.035,-0.147
0.3818,-0.0356,-0.1444
0.3857,-0.0362,-0.141
0.3897,-0.0367,-0.1366
0.3937,-0.0373,-0.1342
0.3976,-0.0378,-0.1306
0.4016,-0.0383,-0.1285
0.4056,-0.0388,-0.1274
0.4095,-0.0393,-0.1267
0.4135,-0.0399,-0.1244
0.4175,-0.0403,-0.1221
0.4214,-0.0408,-0.1196
0.4254,-0.0413,-0.1185
0.4294,-0.0418,-0.1179
0.4333,-0.0423,-0.1177
0.4373,-0.0427,-0.1182
0.4413,-0.0432,-0.1173
0.4453,-0.0437,-0.1166
0.4492,-0.0441,-0.1156
0.4532,-0.0446,-0.1156
0.4572,-0.0451,-0.1137
0.4612,-0.0455,-0.1104
0.4651,-0.0459,-0.1075
0.4691,-0.0464,-0.1042
0.4731,-0.0468,-0.1015
0.4771,-0.0472,-0.0974
0.481,-0.0476,-0.0947
0.485,-0.048,-0.0902
0.489,-0.0483,-0.0862
0.493,-0.0487,-0.0838
0.497,-0.049,-0.081
0.501,-0.0493,-0.0762
0.505,-0.0496,-0.0722
0.5089,-0.0499,-0.0663
0.5129,-0.0502,-0.059
0.5169,-0.0504,-0.0507
0.5209,-0.0506,-0.041
0.5249,-0.0508,-0.032
0.5289,-0.0509,-0.0247
0.5329,-0.051,-0.0187
0.5369,-0.0511,-0.0116
0.5409,-0.0511,-0.0065
0.5449,-0.0512,-0.0029
0.5489,-0.0512,-0.0007
0.5529,-0.0512,0.0033
0.5569,-0.0512,0.0061
0.5609,-0.0511,0.007
0.5649,-0.0511,0.0078
0.5689,-0.0511,0.0083
0.5729,-0.051,0.0071
0.5769,-0.051,0.0055
0.5809,-0.051,0.0031
0.5849,-0.051,0.0016
0.5889,-0.051,-0.001
0.5929,-0.051,-0.0054
0.5969,-0.051,-0.0088
0.6009,-0.051,-0.013
0.6049,-0.0511,-0.0182
0.6089,-0.0512,-0.0215
0.6129,-0.0513,-0.0232
0.6169,-0.0513,-0.0268
0.6209,-0.0515,-0.0309
0.6249,-0.0516,-0.0335
0.6289,-0.0517,-0.0357
0.6329,-0.0519,-0.0374
0.6369,-0.052,-0.041
0.6409,-0.0522,-0.0428
0.6449,-0.0523,-0.0435
0.6489,-0.0525,-0.0426
0.6529,-0.0527,-0.0416
0.6569,-0.0528,-0.0386
0.6609,-0.053,-0.0341
0.6649,-0.0531,-0.0313
0.6689,-0.0533,-0.0277
0.6729,-0.0534,-0.0256
0.6769,-0.0535,-0.0231
0.6809,-0.0536,-0.0204
0.6849,-0.0536,-0.0188
0.6889,-0.0537,-0.0169
0.6929,-0.0538,-0.0146
0.6969,-0.0539,-0.0144
0.7009,-0.0539,-0.0144
0.7049,-0.054,-0.0164
0.7089,-0.054,-0.0164
0.7129,-0.0541,-0.0146
0.7169,-0.0542,-0.0148
0.7209,-0.0542,-0.0168
0.7249,-0.0543,-0.0177
0.7289,-0.0544,-0.0205
0.7329,-0.0544,-0.0235
0.7369,-0.0545,-0.0255
0.7409,-0.0546,-0.0275
0.7449,-0.0547,-0.0302
0.7489,-0.0549,-0.0343
0.7529,-0.055,-0.0395
0.7569,-0.0552,-0.0444
0.7609,-0.0553,-0.0508
0.7648,-0.0555,-0.0578
0.7688,-0.0558,-0.0647
0.7728,-0.056,-0.0721
0.7768,-0.0563,-0.0805
0.7808,-0.0566,-0.089
0.7848,-0.057,-0.0984
0.7888,-0.0574,-0.1076
0.7928,-0.0578,-0.1149
0.7967,-0.0583,-0.124
0.8007,-0.0588,-0.1337
0.8047,-0.0593,-0.1448
0.8086,-0.0599,-0.1564
0.8126,-0.0605,-0.167
0.8165,-0.0612,-0.1795
0.8204,-0.0619,-0.1909
0.8244,-0.0626,-0.2004
0.8283,-0.0634,-0.2084
0.8322,-0.0643,-0.215
0.8361,-0.0651,-0.2205
0.84,-0.066,-0.2274
0.8439,-0.0669,-0.2348
0.8478,-0.0678,-0.2405
0.8517,-0.0688,-0.246
0.8556,-0.0698,-0.25
0.8594,-0.0707,-0.2541
0.8633,-0.0717,-0.2601
0.8672,-0.0728,-0.2668
0.871,-0.0738,-0.272
0.8749,-0.0749,-0.2776
0.8787,-0.076,-0.283
0.8826,-0.0771,-0.2901
0.8864,-0.0783,-0.2969
0.8902,-0.0794,-0.3041
0.8941,-0.0806,-0.3104
0.8979,-0.0819,-0.3158
0.9017,-0.0831,-0.3205
0.9055,-0.0844,-0.3261
0.9093,-0.0856,-0.3337
0.913,-0.0869,-0.3427
0.9168,-0.0883,-0.3532
0.9206,-0.0897,-0.3628
0.9243,-0.0911,-0.3714
0.928,-0.0925,-0.3801
0.9317,-0.094,-0.3899
0.9354,-0.0955,-0.398
0.9391,-0.0971,-0.4079
0.9428,-0.0987,-0.4179
0.9465,-0.1003,-0.4291
0.9501,-0.102,-0.4394
0.9537,-0.1037,-0.4485
0.9573,-0.1054,-0.4593
0.9609,-0.1072,-0.4696
0.9645,-0.109,-0.4794
0.968,-0.1108,-0.4887
0.9715,-0.1127,-0.4985
0.9751,-0.1146,-0.5085
0.9786,-0.1166,-0.5195
0.982,-0.1186,-0.5315
0.9855,-0.1206,-0.5429
0.9889,-0.1227,-0.5546
0.9923,-0.1248,-0.568
0.9957,-0.1269,-0.5818
0.999,-0.1291,-0.5962
1.0023,-0.1314,-0.6103
1.0056,-0.1336,-0.6237
1.0088,-0.136,-0.6374
1.0121,-0.1384,-0.6498
1.0152,-0.1408,-0.6621
1.0184,-0.1432,-0.6741
1.0215,-0.1457,-0.6869
1.0246,-0.1483,-0.6979
1.0277,-0.1508,-0.7103
1.0307,-0.1535,-0.7223
1.0337,-0.1561,-0.7341
1.0367,-0.1588,-0.7463
1.0396,-0.1615,-0.7576
1.0425,-0.1642,-0.7703
1.0454,-0.167,-0.7812
1.0482,-0.1698,-0.7921
1.0511,-0.1727,-0.8048
1.0538,-0.1756,-0.8186
1.0566,-0.1785,-0.8344
1.0592,-0.1815,-0.8494
1.0619,-0.1845,-0.8651
1.0645,-0.1875,-0.8799
1.067,-0.1906,-0.895
1.0695,-0.1937,-0.9098
1.072,-0.1969,-0.9232
1.0744,-0.2001,-0.9374
1.0768,-0.2033,-0.9525
1.0791,-0.2065,-0.9692
1.0814,-0.2098,-0.9862
1.0836,-0.2132,-1.005
1.0857,-0.2166,-1.0228
1.0878,-0.22,-1.0419
1.0898,-0.2234,-1.0608
1.0918,-0.2269,-1.08
1.0936,-0.2304,-1.0988
1.0955,-0.234,-1.1159
1.0972,-0.2376,-1.1344
1.0989,-0.2412,-1.1513
1.1005,-0.2449,-1.1672
1.1021,-0.2486,-1.1839
1.1036,-0.2523,-1.1992
1.1051,-0.256,-1.215
1.1065,-0.2597,-1.2315
1.1078,-0.2635,-1.2464
1.1091,-0.2673,-1.2601
1.1103,-0.2711,-1.2735
1.1115,-0.2749,-1.2861
1.1126,-0.2788,-1.2967
1.1137,-0.2826,-1.3086
1.1147,-0.2865,-1.322
1.1157,-0.2904,-1.3344
1.1166,-0.2943,-1.3464
1.1175,-0.2982,-1.3603
1.1184,-0.3021,-1.3738
1.1191,-0.306,-1.3885
1.1199,-0.3099,-1.4048
1.1205,-0.3139,-1.4213
1.1211,-0.3178,-1.4398
1.1216,-0.3218,-1.4571
1.1221,-0.3258,-1.4747
1.1225,-0.3297,-1.4937
1.1228,-0.3337,-1.5106
1.123,-0.3377,-1.5273
1.1232,-0.3417,-1.5456
1.1233,-0.3457,-1.5645
1.1233,-0.3497,-1.5822
1.1233,-0.3537,-1.6012
1.1232,-0.3577,-1.6189
1.123,-0.3617,-1.6376
1.1227,-0.3657,-1.6569
1.1224,-0.3697,-1.6769
1.1219,-0.3737,-1.6969
1.1214,-0.3776,-1.7166
1.1209,-0.3816,-1.7362
1.1202,-0.3855,-1.7557
1.1195,-0.3895,-1.7737
1.1186,-0.3934,-1.7933
1.1178,-0.3973,-1.8133
1.1168,-0.4012,-1.8333
1.1158,-0.405,-1.8533
1.1147,-0.4089,-1.8733
1.1135,-0.4127,-1.8927
1.1122,-0.4165,-1.9105
1.1109,-0.4203,-1.9279
1.1095,-0.424,-1.9437
1.108,-0.4277,-1.9601
1.1065,-0.4314,-1.9752
1.1049,-0.4351,-1.9911
1.1033,-0.4388,-2.0089
1.1016,-0.4424,-2.0259
1.0998,-0.446,-2.0418
1.098,-0.4495,-2.0571
1.0961,-0.4531,-2.0716
1.0942,-0.4566,-2.0864
1.0923,-0.4601,-2.1008
1.0902,-0.4635,-2.1157
1.0882,-0.4669,-2.1289
1.086,-0.4703,-2.1405
1.0839,-0.4737,-2.1515
1.0817,-0.477,-2.1614
1.0795,-0.4804,-2.1717
1.0772,-0.4837,-2.1815
1.0749,-0.4869,-2.1916
1.0726,-0.4902,-2.2037
1.0702,-0.4934,-2.216
1.0678,-0.4966,-2.2293
1.0654,-0.4998,-2.2435
1.0629,-0.5029,-2.257
1.0603,-0.506,-2.2715
1.0578,-0.5091,-2.2844
1.0551,-0.5121,-2.2975
1.0525,-0.5151,-2.3104
1.0498,-0.518,-2.3216
1.047,-0.521,-2.3339
1.0443,-0.5238,-2.3458
1.0415,-0.5267,-2.3581
1.0387,-0.5295,-2.3699
1.0358,-0.5323,-2.383
1.0329,-0.5351,-2.3951
1.0299,-0.5378,-2.4056
1.027,-0.5405,-2.4154
1.024,-0.5431,-2.4258
1.021,-0.5457,-2.4357
1.0179,-0.5483,-2.4461
1.0149,-0.5509,-2.4557
1.0118,-0.5534,-2.4673
1.0086,-0.5559,-2.4778
1.0055,-0.5584,-2.4887
1.0023,-0.5608,-2.4999
0.9991,-0.5632,-2.5107
0.9959,-0.5656,-2.5232
0.9926,-0.5679,-2.5361
0.9893,-0.5702,-2.5501
0.986,-0.5724,-2.5625
0.9827,-0.5746,-2.5742
0.9793,-0.5767,-2.5867
0.9759,-0.5789,-2.6012
0.9725,-0.5809,-2.6144
0.969,-0.5829,-2.6276
0.9655,-0.5849,-2.6418
0.962,-0.5868,-2.6558
0.9585,-0.5887,-2.6714
0.9549,-0.5905,-2.6855
0.9513,-0.5923,-2.6976
0.9477,-0.594,-2.7108
0.9441,-0.5956,-2.722
0.9404,-0.5973,-2.7344
0.9367,-0.5989,-2.7448
0.933,-0.6004,-2.757
0.9293,-0.6019,-2.7674
0.9256,-0.6034,-2.777
0.9219,-0.6048,-2.7876
0.9181,-0.6062,-2.7967
0.9144,-0.6075,-2.8061
0.9106,-0.6088,-2.8161
0.9068,-0.6101,-2.8262
0.903,-0.6114,-2.8359
0.8992,-0.6126,-2.8447
0.8954,-0.6137,-2.8527
0.8915,-0.6149,-2.8587
0.8877,-0.616,-2.8633
0.8838,-0.6171,-2.867
0.88,-0.6182,-2.8724
0.8761,-0.6192,-2.8766
0.8723,-0.6203,-2.8795
0.8684,-0.6213,-2.8834
0.8645,-0.6223,-2.8859
0.8607,-0.6234,-2.8877
0.8568,-0.6244,-2.8896
0.8529,-0.6254,-2.8934
0.849,-0.6263,-2.8991
0.8452,-0.6273,-2.9044
0.8413,-0.6282,-2.9112
0.8374,-0.6292,-2.9179
0.8335,-0.63,-2.925
0.8296,-0.6309,-2.9311
0.8257,-0.6317,-2.9376
0.8217,-0.6326,-2.9425
0.8178,-0.6333,-2.9473
0.8139,-0.6341,-2.9523
0.81,-0.6349,-2.9569
0.806,-0.6356,-2.9605
0.8021,-0.6363,-2.9638
0.7982,-0.637,-2.9668
0.7942,-0.6377,-2.9699
0.7903,-0.6384,-2.9712
0.7863,-0.6391,-2.9725
0.7824,-0.6398,-2.9747
0.7785,-0.6404,-2.9749
0.7745,-0.6411,-2.9755
0.7706,-0.6417,-2.9751
0.7666,-0.6424,-2.9733
0.7627,-0.6431,-2.9712
0.7587,-0.6438,-2.9699
0.7548,-0.6444,-2.969
0.7509,-0.6451,-2.9682
0.7469,-0.6458,-2.9673
0.743,-0.6465,-2.9668
0.739,-0.6472,-2.9672
0.7351,-0.6479,-2.9674
0.7312,-0.6486,-2.9674
0.7272,-0.6493,-2.9659
0.7233,-0.65,-2.9637
0.7193,-0.6507,-2.9626
0.7154,-0.6514,-2.9611
0.7115,-0.6521,-2.9602
0.7075,-0.6528,-2.9596
0.7036,-0.6536,-2.9601
0.6997,-0.6543,-2.9606
0.6957,-0.655,-2.9599
0.6918,-0.6557,-2.9605
0.6879,-0.6565,-2.9594
0.6839,-0.6572,-2.9595
0.68,-0.6579,-2.961
0.6761,-0.6586,-2.9637
0.6721,-0.6593,-2.965
0.6682,-0.66,-2.9668
0.6642,-0.6607,-2.9694
0.6603,-0.6614,-2.9716
0.6564,-0.6621,-2.9758
0.6524,-0.6628,-2.9817
0.6485,-0.6634,-2.9873
0.6445,-0.664,-2.994
0.6406,-0.6646,-3.0005
0.6366,-0.6652,-3.0086
0.6326,-0.6657,-3.0184
0.6287,-0.6662,-3.0298
0.6247,-0.6666,-3.0401
0.6207,-0.667,-3.0516
0.6167,-0.6674,-3.0613
0.6127,-0.6677,-3.0727
0.6088,-0.668,-3.0833
0.6048,-0.6682,-3.0948
0.6008,-0.6684,-3.1051
0.5968,-0.6686,-3.1146
0.5928,-0.6687,-3.1244
0.5888,-0.6687,-3.1341
0.5848,-0.6688,3.1376
0.5808,-0.6687,3.127
0.5768,-0.6687,3.1181
0.5728,-0.6686,3.1105
0.5688,-0.6685,3.1024
0.5648,-0.6683,3.0939
0.5608,-0.6681,3.0873
0.5568,-0.6679,3.08
